date,count_obs,count_obscured
2019-01-01,1,0
2019-01-02,6,0
2019-01-03,4,0
2019-01-05,1,0
2019-01-07,1,0
2019-01-10,1,0
2019-01-17,12,0
2019-01-23,9,0
2019-02-02,1,0
2019-02-06,27,0
2019-02-07,2,0
2019-02-09,78,0
2019-02-10,41,0
2019-02-11,30,0
2019-02-12,31,0
2019-02-13,55,0
2019-02-14,10,0
2019-02-15,38,0
2019-02-16,9,0
2019-02-17,23,0
2019-02-26,6,0
2019-02-28,2,0
2019-03-14,1,0
2019-03-15,4,0
2019-03-17,11,2
2019-03-20,9,0
2019-03-24,19,0
2019-03-27,7,0
2019-03-28,5,0
2019-03-29,1,0
2019-03-30,10,0
2019-04-04,11,0
2019-04-06,2,0
2019-04-07,9,0
2019-04-10,16,0
2019-04-11,10,0
2019-04-14,5,0
2019-04-17,8,0
2019-04-18,10,0
2019-04-19,13,0
2019-04-20,1,0
2019-04-24,6,0
2019-04-29,2,0
2019-04-30,7,0
2019-05-01,14,0
2019-05-02,32,0
2019-05-03,3,0
2019-05-04,12,0
2019-05-06,2,0
2019-05-07,3,0
2019-05-08,27,0
2019-05-09,5,0
2019-05-11,2,0
2019-05-15,6,0
2019-05-16,28,1
2019-05-17,8,0
2019-05-18,33,0
2019-05-19,1,0
2019-05-20,3,0
2019-05-21,1,0
2019-05-22,6,0
2019-05-23,16,0
2019-05-24,19,0
2019-05-25,12,0
2019-05-26,1,0
2019-05-27,31,0
2019-05-28,1,0
2019-05-29,11,0
2019-05-30,5,0
2019-05-31,26,0
2019-06-01,68,0
2019-06-02,48,0
2019-06-03,19,0
2019-06-04,95,0
2019-06-05,26,0
2019-06-06,40,0
2019-06-07,66,0
2019-06-08,54,0
2019-06-09,8,0
2019-06-11,5,0
2019-06-12,10,0
2019-06-13,0,1
2019-06-14,39,0
2019-06-15,49,0
2019-06-16,5,0
2019-06-19,3,0
2019-06-20,7,0
2019-06-21,3,0
2019-06-22,17,0
2019-06-23,3,0
2019-06-24,9,0
2019-06-26,31,0
2019-06-27,34,0
2019-06-28,26,1
2019-06-29,16,0
2019-06-30,14,0
2019-07-01,6,0
2019-07-02,1,0
2019-07-03,101,0
2019-07-05,2,0
2019-07-07,20,0
2019-07-08,1,0
2019-07-09,3,0
2019-07-10,28,0
2019-07-12,10,0
2019-07-13,21,0
2019-07-14,27,0
2019-07-16,17,0
2019-07-17,1,0
2019-07-18,12,0
2019-07-19,23,4
2019-07-20,2,0
2019-07-23,4,0
2019-07-24,21,1
2019-07-25,8,0
2019-07-26,2,0
2019-07-27,10,0
2019-07-28,14,0
2019-07-29,2,0
2019-07-30,1,0
2019-07-31,3,0
2019-08-01,25,0
2019-08-02,1,0
2019-08-03,10,0
2019-08-04,69,1
2019-08-05,38,0
2019-08-06,16,0
2019-08-07,40,0
2019-08-08,15,0
2019-08-09,20,1
2019-08-10,6,0
2019-08-11,1,0
2019-08-12,7,0
2019-08-13,4,0
2019-08-14,51,0
2019-08-16,4,0
2019-08-17,40,0
2019-08-18,35,0
2019-08-19,5,0
2019-08-20,4,3
2019-08-21,16,0
2019-08-22,15,0
2019-08-23,13,0
2019-08-24,35,0
2019-08-25,2,0
2019-08-26,4,0
2019-08-27,3,0
2019-08-29,10,0
2019-08-30,3,0
2019-08-31,45,0
2019-09-01,73,0
2019-09-02,14,0
2019-09-03,2,0
2019-09-04,3,0
2019-09-05,92,0
2019-09-06,1,0
2019-09-07,1,0
2019-09-09,1,0
2019-09-11,13,0
2019-09-12,2,0
2019-09-13,28,0
2019-09-15,42,0
2019-09-18,99,0
2019-09-19,39,0
2019-09-20,17,0
2019-09-22,26,0
2019-09-24,1,0
2019-09-25,28,0
2019-09-27,13,0
2019-09-28,3,0
2019-10-01,2,0
2019-10-02,32,0
2019-10-03,2,0
2019-10-05,9,0
2019-10-06,24,0
2019-10-09,48,0
2019-10-11,9,0
2019-10-16,15,0
2019-10-19,1,0
2019-10-24,16,0
2019-10-30,2,0
2019-11-01,1,0
2019-11-03,1,0
2019-11-06,16,0
2019-11-10,5,0
2019-11-11,9,1
2019-11-17,5,0
2019-11-20,17,0
2019-11-21,9,0
2019-11-24,2,0
2019-11-27,1,0
2019-11-28,7,0
2019-11-29,5,0
2019-12-08,2,0
2019-12-18,1,0
2019-12-19,2,0
2019-12-22,4,0
2019-12-26,4,0
2019-12-27,1,0
2019-12-28,2,0
2019-12-29,2,0
2019-12-30,3,0
